,Category,Brand,Comments,Repair_Status,Event_Location,Restart_Group,Event_Date,Location_Coordinates
3746,Small kitchen item,Unknown,Grinder needs opening - different tools needed,Repairable,The Loop @ Pembury,Hackney Fixers,2018-05-19,"[51.573445, -0.07243759999999999]"
3747,Mobile,Unknown,Screen replacement,Fixed,The Loop @ Pembury,Hackney Fixers,2018-05-19,"[51.573445, -0.07243759999999999]"
3748,Hi-Fi separates,Unknown,Circuit board,Fixed,The Loop @ Pembury,Hackney Fixers,2018-05-19,"[51.573445, -0.07243759999999999]"
3749,Lamp,Unknown,None,Fixed,The Loop @ Pembury,Hackney Fixers,2018-05-19,"[51.573445, -0.07243759999999999]"
3750,Laptop large,Apple,Graphics card stopped working,Repairable,The Loop @ Pembury,Hackney Fixers,2018-05-19,"[51.573445, -0.07243759999999999]"
3751,PC Accessory,Unknown,Circuit board - expert needed,Repairable,The Loop @ Pembury,Hackney Fixers,2018-05-19,"[51.573445, -0.07243759999999999]"
3752,Vacuum,Unknown,Not enough power,Repairable,The Loop @ Pembury,Hackney Fixers,2018-05-19,"[51.573445, -0.07243759999999999]"
3753,Printer/scanner,Unknown,Advice given,Repairable,The Loop @ Pembury,Hackney Fixers,2018-05-19,"[51.573445, -0.07243759999999999]"
3754,Handheld entertainment device,Unknown,"Not playing cassettes - heads not moving, parts needed",Repairable,The Loop @ Pembury,Hackney Fixers,2018-05-19,"[51.573445, -0.07243759999999999]"
3755,Portable radio,Unknown,Not working - power supply was broken,Fixed,The Loop @ Pembury,Hackney Fixers,2018-05-19,"[51.573445, -0.07243759999999999]"
3756,Portable radio,Tesco,Turns on but not tuning,Repairable,The Loop @ Pembury,Hackney Fixers,2018-05-19,"[51.573445, -0.07243759999999999]"
3757,Tablet,Apple,Slow - problem explained,End of life,The Loop @ Pembury,Hackney Fixers,2018-05-19,"[51.573445, -0.07243759999999999]"
3758,Laptop medium,HP ,"Some keys of the keyboard, on one side, exhibit intermittent fault. Unable to reproduce the fault.",Repairable,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3759,Printer/scanner,Ricoh,"After a drop, not starting up properly. Added ink and restarted, but had an error related to a mystery paper ""jam"" - suspect sensor was damaged",Repairable,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3760,Mobile,Sony,Brought a spare battery - but the problem wasn't the battery. Professional help needed.,Repairable,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3761,Mobile,Apple,"Not charging - the charging port was dirty, a clean fixed the problem.",Fixed,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3762,Mobile,Apple,Needs new lightning USB port - sent to store,Repairable,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3763,Portable radio,Vita Audio,DAB Radio. This radio functioned when turned on at the event. Either the fault was intermittent or it was actually ok.,Fixed,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3764,Aircon/Dehumidifier,Logik ,Not collecting water/dehumidifying any more. Needs re-gassing - likely too costly. ,Repairable,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3765,Kettle,Elgento,Changed the fuse,Fixed,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3766,Kettle,Elgento,Element burned out,End of life,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3767,Lamp,Unknown,"The bulb socket needed replacing, the owner brought one. ",Fixed,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3768,Small kitchen item,Diguo,This kettle was faulty when shipped and the seller simply sent another one without fixing the original. The wires inside were wrongly connected at manufacture.,Fixed,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3769,Small kitchen item,Morphy Richards,"Blade wasn't connecting properly, plastic cog connector mangled.",End of life,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3770,Vacuum,Vax,No power. The motor was damaged by an impact. Too costly to replace.,End of life,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3771,Vacuum,Vax,Boiler spare part no longer available.,End of life,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3772,Misc,Wickes,Fan heater. Warranty repair required.,Repairable,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3773,Misc,Qualcast,Needed wiring ,Fixed,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3774,Laptop medium,Unknown,None,Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3775,Decorative or safety lights,Unknown,Aroma diffuser and color therapy ,End of life,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3776,Misc,LG,Internal rotation plan under the glass dish broken. Glued with Sugru.,Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3777,Laptop large,Unknown,None,Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3778,Laptop medium,Unknown,None,Repairable,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3779,Laptop medium,Unknown,None,End of life,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3780,Headphones,Akai,None,Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3781,Hi-Fi separates,Unknown,Loudspeakers,Repairable,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3782,Small kitchen item,Unknown,Minipimer. not possible to open,End of life,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3783,Misc,Coffe machine,None,Repairable,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3784,Misc,Coffe machine,None,End of life,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3785,Misc,shaver,None,Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3786,Hi-Fi integrated,Philips,"Does not read CD and DVD, no power outputs, only earphones",End of life,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3787,Small kitchen item,Unknown,Minipimer. Cable burned,Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3788,Misc,Sony,Electric contacts oxidized,Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3789,Small kitchen item,Unknown,Minipimer. Cable burned,Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3790,Misc,Sony,Electric contacts oxidized,Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3791,Misc,Philips,"Does not read CD and DVD, no power outputs, only earphones",End of life,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3792,Hair & Beauty item,Unknown,"Epilator. Power cable broken, cut, soldered, made more resistant to folding",Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3793,Kettle,Unknown,None,Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3794,Misc,Unknown,cooking planetary,Repairable,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3795,Laptop medium,HP,"Old laptop which was not booting.  

We installed Linux Mint, which worked fine except the wireless (common with older laptops not having wireless drivers built into the kernel).  We managed to get that working by using synaptic to download the required packages from another laptop that had internet access, using the very helpful Package Download Script in Synaptic (https://help.ubuntu.com/community/Synaptic/PackageDownloadScript)..",Fixed,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3796,PC Accessory,Mpow,"Bluetooth audio receiver, connector broke, brought spare and resoldered",Fixed,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3797,Tablet,Asus,Battery changed (2nd visit),Fixed,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3798,Kettle,Asda,Switch was broken,End of life,Tooting,Restart HQ,2018-05-13,"[14.5994, 28.6731]"
3799,Laptop small,Acer,Cleaned space on the HD and given some hint,Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3800,Decorative or safety lights,Emergency lamp,NI-Cd battery failed,Repairable,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3801,Kettle,Braun,Do non power on,End of life,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3802,Misc,Videorecorder,Do not works,Repairable,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3803,Misc,SMEG,Microwave oven. Fuses and switches OK,Repairable,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3804,Laptop medium,HP,HD saved,End of life,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3805,Handheld entertainment device,Panasonic,rubber transmission belt loosed,Repairable,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3806,Misc,DCG,"Iron with kettle. Power switch broken, bypassed the main switch as requested by the owner",Fixed,Cascina Cuccagna,Restarters Milano,2018-05-13,"[45.4642035, 9.189982]"
3807,Printer/scanner,HP,replacement part,Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3808,Printer/scanner,Epson,"makes lines on printing

cleaned ink jets, cleaned cartridge",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3809,Handheld entertainment device,Bose,"receiver, CD player not work; 
found workaround using external CD player",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3810,Hi-Fi integrated,Craig,"digital clock radio / CD player;
took apart, sprayed contact cleaner",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3811,Hi-Fi integrated,Sony,"clock radio vintage

dismantled, diagnosed sticky area, jumpstarted",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3812,Kettle,Chef'sChoice International,"turns on and off intermittently

opened up, checked circuits, checked continuity
and contacts
",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3813,Lamp,Unknown,"loose socket.

chnged light switch",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3814,Lamp,Unknown,"short in wiring

replaced wiring; replaced socket with ceramic",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3815,Lamp,Unknown,"old lamp

wires were cut

cut out old cord, spliced, put on new plug",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3816,Power tool,Shark,"sewing machine
bobbin winder not winding

took apart and cleaned",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3817,Power tool,Necchi,"bobbin winder doesn't work. 
fixer showed how to set settings, owner was doing it wrong",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3818,Power tool,Unknown,lawn mower,Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3819,Power tool,Black & Decker,"lawn mower won't start

re-engineered switch closure mechanism",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3820,Power tool,Unknown,"sewing machine

owner needs to know how it works

took apart and found problem",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3821,Power tool,Unknown,"heavy duty power cord extension

break in cord, wires exposed

needs ground cable: owner told how to get and fix",Repairable,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3822,Small kitchen item,Panasonic,intermittent functioning,Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3823,Small kitchen item,Radio Shack,"megaphone bullhorn.

trigger proken, 

bipassed so could use without trigger",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3824,Small kitchen item,Keurig,None,Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3825,Small kitchen item,Unknown,"""really old""

waffle iron.
Replaced hi temp wire connection heating coils to pwer connector, crimped new wire in PUCB (?) with high temp connectors",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3826,Small kitchen item,Panasonic,"electric shaver

epoxy used to secure parts",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3827,Toy,Unknown,"remote control toy train, wires came out

wire soldered in place",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3828,Misc,Delonghi,"heater
comes on only now and then

fixer thinks timer was incorrectly set",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3829,PC Accessory,Apple,"power supply cable stripped wires frayed,

applied electrical tape",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3830,Hi-Fi separates,Music Hall,"turntable, won't turn: tape impeding motor, took off.",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3831,TV and gaming-related accessories,Emerson,"VCR

power shuts off when play,
manipulated belts",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3832,Small kitchen item,Coleman,"flashlight
unable to open to change batteries

opened, required finesse",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3833,Toaster,Unknown,"one side won't toaste

cleaned out debris causing blockage in system",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3834,PC Accessory,LaCie,"hard drive
plug got pushed into case, drive removed, owner will download info from drive",Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3835,Printer/scanner,Epson,needs a new cartridge,Repairable,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3836,Digital Compact Camera,Panasonic,"lens not working, tried air stream and oil but automatic lens won't retract",End of life,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3837,TV and gaming-related accessories,Unknown,VCR,End of life,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3838,TV and gaming-related accessories,Nintendo,water damage unfixable,End of life,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3839,Kettle,Aroma,None,End of life,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3840,Lamp,Unknown,lamp,Repairable,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3841,Small kitchen item,La Pavoni,coffee grinder,Repairable,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3842,Small kitchen item,Howard Miller,clock,Repairable,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3843,Small kitchen item,KitchenAid,"blender
needs new coupler",Repairable,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3844,Toy,Trenz,"quad copter

needs silicon glue, owner will do at home",Repairable,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3845,Misc,GE,microwave,Repairable,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3846,Misc,Coleman,air compressor,End of life,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3847,PC Accessory,Belkin,Charger,Repairable,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3848,Musical instrument,Harman/Kardon,"recorder / amp
vacuumed out switches, both channels now work, open solder connection on transistor, radio still not work",Repairable,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3849,Power tool,Unknown,extension cord cut in half,Fixed,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3850,Toaster,Toastmaster,"broken heating element, directed participant to source for",Repairable,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3851,Toaster,GE,top heating element not work,Repairable,BFUU Fellowship Hall,Culture of Repair,2018-05-05,"[14.5994, 28.6731]"
3852,Laptop large,Dell ,No charge,Fixed,Restart Party @ Fablab #2,Restarters Torino,2018-05-10,"[45.0703393, 7.686864]"
3853,Laptop medium,Dell,"Return visit.  Previously the owner had replaced the screen himself but it still didn't work, visited an earlier Restart Party and was told inverter needed replacing.  Bought a new inverter and came to this event to get help installing it.  Original inverter actually not faulty but had not been connected!  Laptop appeared functional but was missing its hard drive, owner to follow up.",Fixed,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3854,Misc,Unknown,Needs part.,Repairable,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3855,DLSR / Video Camera,Unknown,Camcorder charger.  Owner was signposted to further help.,Repairable,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3856,Power tool,Flymo,Intermittent power.  Break in cable near mower cable entry point.  Fixed by shortening cable slightly and reconnecting.,Fixed,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3857,Hair & Beauty item,Unknown,Electric toothbrush stopped working.,Fixed,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3858,Mobile,Apple,"No light, photo issue",Fixed,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3859,Mobile,Motorola,Phone wont read sim card.  ,End of life,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3860,Toaster,Dualit,Button not working.,Fixed,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3861,Paper shredder,Unknown,RIP - motor burnt out,End of life,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3862,Digital Compact Camera,Canon,Lens not retracting,End of life,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3863,Lamp,Unknown,Wont turn on.,Fixed,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3864,Laptop medium,Apple,Dead.  Needs new screen.,Repairable,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3865,Printer/scanner,Canon,Jammed,Fixed,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3866,Laptop medium,Unknown,Won't boot up.  Parts needed.,Repairable,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3867,Mobile,Motorola,Screen issue.  Needs new screen.,Repairable,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3868,Lamp,Unknown,Desk lamp not turning on.  Switch faulty.  Owner is now confident she can get required part and repair this herself.,Repairable,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3869,Power tool,Unknown,Not spinning.  Needs specialist component.,Repairable,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3870,Laptop medium,HP,Charger connection.  Needs new component - half fixed!,Repairable,Crystal Palace,Crystal Palace Library of Things,2018-04-22,"[51.419803, -0.0813227]"
3871,Mobile,Nokia,"Could not identify a bad resistor.
Then we cleaned it with isoprobanyl and it worked again.",Fixed,Fab Lab Ísafjörður - Iceland,FabLab Isafjordur,2018-05-09,"[66.0739615, -23.1319605]"
3872,PC Accessory,Unknown,"USB powered speakers. The USB plug was damaged, so the power kept cutting out.  The old plug was cut off, and replaced with the good end of a broken USB-mini charging cable brought by an organiser.  The charging cable had data wires (white and green), so these were left alone. The red and black 5V power wires were stripped, had heatshrink tubing slid along them ready to separate and protect them, were spliced to the corresponding wires for the speakers, had a bit of solder added for a good connection, then the heatshrink tubing applied to the joint, plus a bit of electrical tape where the tubing was not secure enough.  The speakers worked again afterwards with their new power plug.",Fixed,TTF Repair Café 2.0,Forres Restarters,2018-05-05,"[57.60979099999999, -3.61998]"
3873,Mobile,Samsung,"Had one of those daft curved-glass screens, smashed of course.
The user did not bring any replacement parts, so was referred to a professional service.",Repairable,TTF Repair Café 2.0,Forres Restarters,2018-05-05,"[57.60979099999999, -3.61998]"
3874,Lamp,Unknown,"Brass table lamp. Lamp did not turn on. Replaced the fuse, lamp turned on.",Fixed,TTF Repair Café 2.0,Forres Restarters,2018-05-05,"[57.60979099999999, -3.61998]"
3875,Lamp,Unknown,"Brass table lamp. Lamp did not turn on. Replaced the fuse, lamp turned on.",Fixed,TTF Repair Café 2.0,Forres Restarters,2018-05-05,"[57.60979099999999, -3.61998]"
3876,Lamp,Unknown,"Touch activated lamp. Lamp did not turn on. The wiring was fine but the sensor appeared to be a dead black-box, so with the user's permission, this was cut out and the socket wired to the power directly as a quick fix. Finding a replacement LD-600S Touch Dimmer switch from Hopestar Electronic Co. or an equivalent replacement would be necessary to return the lamp's touch function.",Fixed,TTF Repair Café 2.0,Forres Restarters,2018-05-05,"[57.60979099999999, -3.61998]"
3877,Power tool,Clas Ohlson,"The cap of the bump-activated cord dispenser was stuck, so the user could not replace the cord.

We identified some dried up grass powder clogging the groove that the cap twisted through, so scraped some of that out and then it was possible to twist the cap to the open position and pop it off with a pull.",Fixed,TTF Repair Café 2.0,Forres Restarters,2018-05-05,"[57.60979099999999, -3.61998]"
3878,Hi-Fi separates,Sansui,"One channel out was producing a buzzing sound.

The amp was opened up, no components appeared burnt, corroded or short-circuited. Surprisingly none of the old electrolytic capacitors had burst either, showing far better quality than typically seen these days.
A couple of slightly loose blade fuses were re-seated.
The sound seemed to work fine thereafter.

It is unknown exactly what the problem was, but the user was advised to give the RCA sockets a clean to improve electrical contact with the greying metal.",Fixed,TTF Repair Café 2.0,Forres Restarters,2018-05-05,"[57.60979099999999, -3.61998]"
3879,"Flat screen 22-24""",Sanyo,Referred to Hackspace,Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3880,Handheld entertainment device,Unknown,Game console,End of life,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3881,Headphones,Unknown,Lead - replacement plug,Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3882,Portable radio,Sony,"PSU broken, needs replacing",Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3883,Decorative or safety lights,Disco light,Bulb loose in the holder,Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3884,Lamp,Unknown,None,Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3885,Lamp,Unknown,None,Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3886,Lamp,Unknown,"Switch broken, part needed",Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3887,Power tool,Ryobi,May be repairable with replacement parts,Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3888,Toaster,Breville,"Trips RCS, unidentifiable fault",End of life,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3889,Misc,Unknown,Electric clock,Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3890,Misc,Microphone,None,Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3891,Misc,Delonghi,None,Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3892,Misc,Russell Hobbs,"Sealed unit, unfixable by design",End of life,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3893,Misc,Laser stage light,Microphone secured in place ,Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3894,Misc,Steamer,"Sealed unit, not repairable",End of life,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3895,Misc,Kitchen Mixer,"Microswitch for detecting closed, not working. Ok after moving",Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3896,Misc,Russell Hobbs ,Corroded connectors and terminal components. ,End of life,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3897,Misc,Kenwood,Too big a job to fix here,Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3898,Misc,Seiki,None,Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3899,"Flat screen 22-24""",Sanyo,Referred to Hackspace,Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3900,Handheld entertainment device,Unknown,Game console,End of life,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3901,Headphones,Unknown,Lead - replacement plug,Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3902,Portable radio,Sony,"PSU broken, needs replacing",Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3903,Decorative or safety lights,Unknown,Disco light. Bulb loose in the holder,Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3904,Lamp,Unknown,None,Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3905,Lamp,Unknown,None,Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3906,Lamp,Unknown,"Switch broken, part needed",Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3907,Power tool,Ryobi,May be repairable with replacement parts,Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3908,Toaster,Breville,"Trips RCS, unidentifiable fault",End of life,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3909,Misc,Unknown,Electric clock,Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3910,Misc,Unknown,Microphone,Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3911,Misc,Delonghi,None,Repairable,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3912,Misc,Russell Hobbs,"Iron. Sealed unit, unfixable by design",End of life,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3913,Misc,Laser stage light,Microphone secured in place ,Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3914,Misc,Unknown,"Steamer. Sealed unit, not repairable",End of life,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
3915,Misc,Unknown,"Kitchen mixer. Microswitch for detecting closed, not working. Ok after moving",Fixed,Sherwood Methodist Church,Nottingham Fixers,2018-04-07,"[52.956478, -1.146526]"
